Date,Price,Open,High,Low,Change %
30-Jan-19,35745000,37252000,37388000,35514000,0.41%
29-Jan-19,39804000,35745000,41072000,35625000,-0.02%
28-Jan-19,39792000,39807000,40863000,39100000,0.17%
25-Jan-19,37794000,39792000,40321000,37300000,0.96%
24-Jan-19,37523000,37772000,38659000,37183000,-0.66%
23-Jan-19,36779000,37523000,38201000,36500000,0.19%
22-Jan-19,37600000,36779000,37700000,36706000,-0.06%
21-Jan-19,37100000,37600000,37998000,37055000,0.03%
18-Jan-19,37237000,37100000,37694000,37005000,-0.31%
17-Jan-19,37064000,37248000,37359000,36230000,-0.02%
16-Jan-19,37087000,37064000,37491000,36790000,-0.15%
15-Jan-19,37140000,37039000,37391000,36860000,-0.52%
14-Jan-19,36808000,37134000,37289000,36707000,0.07%
11-Jan-19,36689000,36808000,36895000,36300000,-0.27%
10-Jan-19,36245000,36689000,37633000,36050000,-0.37%
09-Jan-19,36300000,36245000,36472000,35800000,0.88%
08-Jan-19,36408000,36288000,36487000,35944000,-0.30%
07-Jan-19,36595000,36408000,37171000,35907000,0.71%
04-Jan-19,36929000,36595000,37556000,36590000,0.01%
03-Jan-19,37372000,36909000,38161000,36625000,0.45%
02-Jan-19,36411000,37400000,37552000,36151000,-1.06%
01-Jan-19,36735000,36411000,37190000,36344000,-0.05%
31-Dec-18,36618000,36738000,36908000,36289000,0.28%
28-Dec-18,36467000,36618000,36924000,36323000,0.07%
27-Dec-18,36889000,36467000,37107000,36411000,0.68%
26-Dec-18,37231000,36879000,38203000,36850000,-0.08%
25-Dec-18,37305000,37211000,37710000,37097000,-0.33%
24-Dec-18,37677000,37305000,37700000,37222000,0.27%
21-Dec-18,37910000,37677000,38300000,37671000,-0.67%
20-Dec-18,38647000,37910000,38889000,37909000,0.61%
19-Dec-18,38700000,38647000,39200000,38518000,0.14%
18-Dec-18,38348000,38705000,38708000,38210000,0.12%
17-Dec-18,39121000,38345000,39190000,38255000,0.34%
14-Dec-18,38770000,39134000,39331000,38501000,-0.48%
13-Dec-18,39357000,38760000,39371000,38707000,-0.04%
12-Dec-18,40176000,39345000,40450000,39196000,0.46%
11-Dec-18,40683000,40176000,40696000,40021000,-0.35%
10-Dec-18,39648000,40686000,41426000,38059000,-0.19%
07-Dec-18,39177000,39648000,40032000,38845000,0.02%
06-Dec-18,39775000,39177000,39781000,39000000,0.28%
05-Dec-18,39810000,39779000,39998000,39561000,-0.01%
04-Dec-18,39919000,39809000,39995000,39492000,-0.08%
03-Dec-18,40071000,39919000,40200000,39670000,0.33%
30-Nov-18,39949000,40071000,40191000,39737000,-0.67%
29-Nov-18,40264000,39949000,40770000,39880000,0.24%
28-Nov-18,39979000,40264000,40320000,39801000,0.69%
27-Nov-18,40424000,39979000,40424000,39927000,-0.35%
26-Nov-18,41888000,40421000,42213000,40345000,-0.11%
23-Nov-18,42131000,41890000,42280000,41500000,-0.59%
22-Nov-18,43036000,42131000,43622000,42109000,0.20%
21-Nov-18,43565000,43036000,43570000,42565000,0.12%
20-Nov-18,42486000,43565000,43622000,42355000,-0.72%
19-Nov-18,41725000,42487000,42740000,41459000,0.29%
16-Nov-18,41742000,41725000,42429000,41290000,0.81%
15-Nov-18,42180000,41751000,42267000,41326000,0.16%
14-Nov-18,42046000,42180000,42630000,41926000,0.17%
13-Nov-18,41002000,42046000,42224000,40501000,0.65%
12-Nov-18,41359000,40974000,41699000,40800000,-1.04%
09-Nov-18,41921000,41365000,42301000,41100000,-0.24%
08-Nov-18,41601000,41921000,42307000,41562000,-0.55%
07-Nov-18,42299000,41598000,42358000,41579000,-0.01%
06-Nov-18,42261000,42293000,42460000,42007000,0.18%
05-Nov-18,46344000,42265000,47400000,42050000,0.18%
02-Nov-18,45376000,46344000,46644000,44769000,-0.19%
01-Nov-18,49070000,45376000,49583000,45282000,0.86%
31-Oct-18,49481000,49070000,49999000,48350000,-0.28%
30-Oct-18,50413000,49476000,51200000,49006000,-0.25%
29-Oct-18,49562000,50421000,50605000,48800000,-0.26%
26-Oct-18,49930000,49562000,50206000,48380000,0.24%
25-Oct-18,49647000,49929000,50178000,49384000,-0.14%
24-Oct-18,48779000,49623000,50000000,48528000,-0.69%
23-Oct-18,48806000,48788000,49320000,48348000,0.05%
22-Oct-18,48845000,48806000,49109000,48516000,-0.43%
19-Oct-18,49162000,48856000,49781000,48600000,0.54%
18-Oct-18,47910000,49162000,49500000,47350000,-0.42%
17-Oct-18,48636000,47910000,48669000,47513000,-0.64%
16-Oct-18,48550000,48636000,48876000,48312000,-0.03%
15-Oct-18,49188000,48550000,49299000,48074000,0.14%
12-Oct-18,48550000,49186000,49450000,48540000,-0.27%
11-Oct-18,49375000,48550000,49558000,48407000,0.64%
10-Oct-18,51348000,49388000,51486000,49290000,0.26%
09-Oct-18,51008000,51342000,51800000,50050000,-0.02%
08-Oct-18,51370000,51019000,51800000,50450000,-0.28%
05-Oct-18,51890000,51370000,52280000,51235000,0.08%
04-Oct-18,51340000,51891000,51892000,50800000,0.32%
03-Oct-18,51547000,51340000,51893000,51064000,-0.61%
02-Oct-18,50808000,51547000,51886000,50237000,-0.26%
01-Oct-18,50776000,50808000,51526000,50600000,-0.27%
28-Sep-18,50836000,50776000,51500000,50677000,-0.27%
27-Sep-18,51501000,50836000,51757000,50677000,-0.84%
26-Sep-18,50895000,51501000,51625000,50891000,-0.27%
25-Sep-18,50579000,50890000,51334000,50300000,0.20%
24-Sep-18,50900000,50553000,51115000,50300000,-0.02%
21-Sep-18,50430000,50901000,51031000,50258000,-0.23%
20-Sep-18,50626000,50431000,50779000,50262000,0.89%
19-Sep-18,50840000,50625000,51300000,50403000,0.05%
18-Sep-18,52363000,50819000,53380000,50802000,-0.14%
17-Sep-18,52616000,52370000,53000000,51880000,0.46%
14-Sep-18,52200000,52633000,53233000,51671000,-0.51%
13-Sep-18,52326000,52199000,52612000,52118000,0.55%
12-Sep-18,52706000,52305000,52975000,52288000,0.16%
11-Sep-18,51731000,52711000,53086000,50313000,0.11%
10-Sep-18,51600000,51731000,51750000,50860000,0.35%
07-Sep-18,51844000,51581000,52199000,51470000,-0.59%
06-Sep-18,51874000,51846000,52185000,51535000,-0.06%
05-Sep-18,52403000,51874000,52698000,51874000,0.41%
04-Sep-18,52532000,52441000,52800000,52229000,-0.36%
03-Sep-18,53993000,52518000,53995000,51773000,0.20%
31-Aug-18,53865000,53991000,54955000,53439000,-0.60%
30-Aug-18,53676000,53865000,54075000,53457000,-0.32%
29-Aug-18,54325000,53671000,55500000,53285000,0.11%
28-Aug-18,54165000,54325000,54599000,53579000,0.15%
27-Aug-18,54760000,54160000,54890000,53800000,0.47%
24-Aug-18,55397000,54760000,55909000,54431000,0.73%
23-Aug-18,56815000,55397000,56989000,55115000,-0.50%
22-Aug-18,56511000,56810000,57492000,56300000,0.22%
21-Aug-18,56738000,56518000,56957000,55885000,0.78%
20-Aug-18,57349000,56738000,57500000,56415000,0.37%
17-Aug-18,57484000,57349000,58120000,57284000,0.54%
16-Aug-18,57738000,57458000,58050000,57457000,0.28%
15-Aug-18,57800000,57738000,58426000,57000000,0.01%
14-Aug-18,57246000,57791000,57951000,56405000,-0.57%
13-Aug-18,57705000,57246000,58198000,56830000,-0.02%
10-Aug-18,57777000,57705000,58178000,57552000,-1.01%
09-Aug-18,57852000,57777000,58220000,57600000,-0.72%
08-Aug-18,57610000,57852000,58300000,57038000,0.10%
07-Aug-18,57963000,57610000,58211000,57301000,0.39%
06-Aug-18,59278000,57970000,59750000,57881000,-0.11%
03-Aug-18,61000000,59276000,61108000,59000000,-0.15%
02-Aug-18,61657000,61000000,62000000,60420000,-0.65%
01-Aug-18,63649000,61650000,63680000,61650000,-0.27%
31-Jul-18,63720000,63649000,65235000,62399000,-0.13%
30-Jul-18,63427000,63716000,64267000,63292000,0.41%
27-Jul-18,64590000,63435000,64630000,63018000,0.13%
26-Jul-18,64795000,64602000,65985000,64000000,-0.72%
25-Jul-18,65701000,64795000,65826000,64709000,0.36%
24-Jul-18,64251000,65696000,65696000,63630000,-0.05%
23-Jul-18,65242000,64260000,65500000,63381000,-0.24%
20-Jul-18,64500000,65242000,65306000,64221000,0.66%
19-Jul-18,64995000,64521000,65511000,64058000,0.03%
18-Jul-18,65031000,64995000,65316000,64700000,-0.19%
17-Jul-18,65560000,65031000,65846000,64946000,-0.42%
16-Jul-18,65417000,65560000,65689000,65074000,0.21%
13-Jul-18,64769000,65416000,65488000,64250000,0.11%
12-Jul-18,64400000,64775000,64875000,62954000,-0.02%
11-Jul-18,61400000,64400000,64556000,60456000,-0.60%
10-Jul-18,60698000,61401000,61780000,56562000,-0.06%
09-Jul-18,61148000,60654000,61301000,59000000,0.03%
06-Jul-18,61744000,61144000,63362000,60781000,0.48%
05-Jul-18,57783000,61688000,61760000,56620000,0.30%
04-Jul-18,56038000,57806000,58456000,55037000,-0.01%
03-Jul-18,52443000,56024000,56295000,50900000,0.14%
02-Jul-18,54868000,52415000,55810000,51387000,-0.38%
29-Jun-18,52100000,54868000,55450000,52100000,1.00%
28-Jun-18,55105000,52100000,55400000,52000000,0.13%
27-Jun-18,57464000,55106000,57754000,52875000,-0.80%
26-Jun-18,56299000,57464000,58150000,55498000,-0.49%
25-Jun-18,56457000,56300000,57493000,55966000,0.40%
22-Jun-18,56009000,56409000,57113000,54150000,0.47%
21-Jun-18,55264000,56001000,56349000,55106000,0.27%
20-Jun-18,56500000,55319000,56710000,54722000,-0.16%
19-Jun-18,57143000,56501000,57797000,56016000,-0.28%
18-Jun-18,57177000,57100000,57396000,56266000,0.12%
15-Jun-18,56809000,57177000,57187000,55449000,0.35%
14-Jun-18,57699000,56809000,58890000,56584000,-1.88%
13-Jun-18,56837000,57700000,58110000,56500000,0.39%
12-Jun-18,54168000,56843000,56878000,53800000,-0.33%
11-Jun-18,54553000,54128000,55107000,53113000,0.14%
08-Jun-18,52026000,54551000,54982000,51809000,-0.26%
07-Jun-18,53602000,52023000,54274000,51999000,0.22%
06-Jun-18,54480000,53603000,54722000,53088000,0.47%
05-Jun-18,53943000,54480000,55226000,53516000,0.16%
04-Jun-18,53804000,54057000,54289000,52702000,0.33%
01-Jun-18,54499000,53835000,54950000,53500000,-0.27%
31-May-18,54404000,54499000,55579000,54200000,0.25%
30-May-18,54513000,54404000,54874000,53597000,1.07%
29-May-18,53799000,54500000,54930000,53700000,-0.71%
28-May-18,54279000,53799000,54408000,53664000,-0.25%
25-May-18,53494000,54279000,54350000,52780000,-0.58%
